author_id,openalex_id,name,orcid,institution,institution_id,faculty,department,total_works,total_citations,h_index,i10_index,two_year_mean_citedness,research_areas
"https://openalex.org/A5104943262","A5104943262","Astri Aprilianti","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Gene; Sociology; Business; Political science; Chemistry"
"https://openalex.org/A5104943301","A5104943301","Muhammad Al-Fandy","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Computer graphics (images); Engineering; Compost; Environmental science; Computer science"
"https://openalex.org/A5105102553","A5105102553","Amadea Ajeng","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Finance; Dividend; Accounting; Dividend payout ratio; Business"
"https://openalex.org/A5105102569","A5105102569","Yayah Sutisnawati","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","1","Macroeconomics; Sociology; Business; Economics; Pedagogy"
"https://openalex.org/A5105102570","A5105102570","Muhammad Haikal Musyaffa","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","1","Macroeconomics; Sociology; Business; Economics; Pedagogy"
"https://openalex.org/A5105102607","A5105102607","Nafisa Aulia","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Teknik dan Ilmu Komputer","","1","0","0","0","0","Engineering; Business; Blueprint; Economics; Marketing"
"https://openalex.org/A5105102627","A5105102627","Mega Malita","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Finance; Statistics; SWOT analysis; Data collection; Business"
"https://openalex.org/A5105102628","A5105102628","Eneng Intan","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Finance; Statistics; SWOT analysis; Data collection; Business"
"https://openalex.org/A5105102640","A5105102640","Adhira Damarsaputra","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Advertising; Correlation; World Wide Web; Business; Economics"
"https://openalex.org/A5105102641","A5105102641","Ipay Azmiatu Rahman","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Advertising; Correlation; World Wide Web; Business; Economics"
"https://openalex.org/A5105102642","A5105102642","Iftah Sapari Ridwanulloh","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Advertising; Correlation; World Wide Web; Business; Economics"
"https://openalex.org/A5105850972","A5105850972","Ronauli Nadeak","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","2","1","0","0","Philosophy; Humanities; Mathematics"
"https://openalex.org/A5106336193","A5106336193","Ardi wijaya","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Teknik dan Ilmu Komputer","","1","0","0","0","0","Mathematics"
"https://openalex.org/A5106802931","A5106802931","Herman Surdiatno","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Welfare; Business; Econometrics; Economics; Political science"
"https://openalex.org/A5106884998","A5106884998","Fathan Arif Nugroho Yuwono","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Nuclear chemistry; Chemistry"
"https://openalex.org/A5106914409","A5106914409","Cici Nurnovianti","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Sociology"
"https://openalex.org/A5106914410","A5106914410","Nia Karniawati","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Sociology"
"https://openalex.org/A5106914470","A5106914470","Andri Sahata Sitanggang","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","1","Psychiatry; Mental health; Sociology; Psychology"
"https://openalex.org/A5106914471","A5106914471","Hafidz Fathi Azkia","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","1","Psychiatry; Mental health; Sociology; Psychology"
"https://openalex.org/A5106914472","A5106914472","Endar Sutrisno","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","1","Psychiatry; Mental health; Sociology; Psychology"
"https://openalex.org/A5106914473","A5106914473","Zahra FH","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","1","Psychiatry; Mental health; Sociology; Psychology"
"https://openalex.org/A5106914474","A5106914474","Dela Eka","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","1","Psychiatry; Mental health; Sociology; Psychology"
"https://openalex.org/A5107178175","A5107178175","Herdiana Safira","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","1","Statistics; Geography; Mathematics; Environmental science"
"https://openalex.org/A5107324989","A5107324989","Andriyan Subhan","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","2","1","0","0","Physics"
"https://openalex.org/A5108143010","A5108143010","Al Imran","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","1","Philosophy; Humanities; Psychology"
"https://openalex.org/A5108818477","A5108818477","Fauzi Ensa Hidayat","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","0","Human–computer interaction; Milestone; Sociology; Artificial intelligence; Interpersonal communication"
"https://openalex.org/A5108848519","A5108848519","Z I Rahmat","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Human–computer interaction; Operating system; Electrical engineering; Engineering; World Wide Web"
"https://openalex.org/A5108849987","A5108849987","Muhamad Adam Andhika","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Human–computer interaction; The Internet; Operating system; Advertising; World Wide Web"
"https://openalex.org/A5108951927","A5108951927","Faridz Muhammad","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Political science; Law; Immigration law; Administration (probate law); Public administration"
"https://openalex.org/A5108951930","A5108951930","M I Akbar","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Ekonomi dan Bisnis","","1","0","0","0","0","Business; Business administration"
"https://openalex.org/A5108952683","A5108952683","Archi Maulana Ibrahim","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","World Wide Web; Philosophy; Artificial intelligence; Psychology; Natural language processing"
"https://openalex.org/A5108971016","A5108971016","Noer Dwi Purnama Rini","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Finance; Machine learning; Profitability index; Business; Return on assets"
"https://openalex.org/A5109506560","A5109506560","WA Astuti","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Customer retention; Operating system; Digital transformation; World Wide Web; Macroeconomics"
"https://openalex.org/A5109591180","A5109591180","Rahman Hidayat","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Desain","","1","0","0","0","0","Art; Sociology; Visual arts; Anthropology; Tribe"
"https://openalex.org/A5109608873","A5109608873","Mohammad Iqbal Matondang","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","2","1","0","0","Philosophy; Business; Humanities; Business administration; Theology"
"https://openalex.org/A5109612844","A5109612844","Shinji Putri Rahmawati","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Finance; Physics; Philosophy; Business; Humanities"
"https://openalex.org/A5109620355","A5109620355","Reydho Trihandika Putra","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","3","1","0","3","Operating system; Philosophy; Business; Political science; Law"
"https://openalex.org/A5109620730","A5109620730","Alvika Permana","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Physics; Art; Humanities; Archaeology; Geography"
"https://openalex.org/A5109620756","A5109620756","Maulana Farras Naufal","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Teknik dan Ilmu Komputer","","1","0","0","0","0","Engineering; Art; Humanities; Political science; Geotechnical engineering"
